Tiempo(s)	Voltaje(V)
5.999999999999999778e-02	2.321440224768593907e-01
6.099999999999999867e-02	2.775043017754796892e-01
6.199999999999999956e-02	2.787911182094831020e-01
6.300000000000000044e-02	1.874271513952407986e-01
6.400000000000000133e-02	6.035402853740379214e-02
6.500000000000000222e-02	2.353610635618679225e-01
6.600000000000000311e-02	2.810430469689890742e-01
6.700000000000000400e-02	2.810430469689890742e-01
6.800000000000000488e-02	1.890356719377450645e-01
6.900000000000000577e-02	6.099743675440549850e-02
7.000000000000000666e-02	2.360044717788696289e-01
7.099999999999999367e-02	2.787911182094831020e-01
7.199999999999999456e-02	2.797562305349856615e-01
7.299999999999999545e-02	1.861403349612373859e-01
7.399999999999999634e-02	6.099743675440549850e-02
7.499999999999999722e-02	2.360044717788696289e-01
7.599999999999999811e-02	2.765391894499771297e-01
7.699999999999999900e-02	2.781477099924813956e-01
7.799999999999999989e-02	1.871054472867399454e-01
7.900000000000000078e-02	7.000515179242938757e-02
8.000000000000000167e-02	2.411517375148832798e-01
8.100000000000000255e-02	2.800779346434865147e-01
8.200000000000000344e-02	2.813647510774899274e-01
8.300000000000000433e-02	1.887139678292442113e-01
8.400000000000000522e-02	8.222990791546180844e-02
8.500000000000000611e-02	2.446904827083926648e-01
8.599999999999999312e-02	2.791128223179839551e-01
8.699999999999999400e-02	2.800779346434865147e-01
8.799999999999999489e-02	1.867837431782390922e-01
8.899999999999999578e-02	8.962910241098143160e-02
8.999999999999999667e-02	2.427602580573875457e-01
9.099999999999999756e-02	2.781477099924813956e-01
9.199999999999999845e-02	2.781477099924813956e-01
9.299999999999999933e-02	1.842101103102322668e-01
9.400000000000000022e-02	9.670659279800020158e-02
9.500000000000000111e-02	2.456555950338952243e-01
9.600000000000000200e-02	2.852252003795001656e-01
9.700000000000000289e-02	2.810430469689890742e-01
9.800000000000000377e-02	1.864620390697382390e-01
9.900000000000000466e-02	1.041057872935198247e-01
1.000000000000000056e-01	2.482292279019020498e-01
1.010000000000000064e-01	2.958414359600283206e-01
1.019999999999999934e-01	2.829732716199941933e-01
1.029999999999999943e-01	1.854969267442356795e-01
1.039999999999999952e-01	1.047491955105215311e-01
1.049999999999999961e-01	2.466207073593977839e-01
1.059999999999999970e-01	3.013104058045428246e-01
1.069999999999999979e-01	2.794345264264848083e-01
1.079999999999999988e-01	1.832449979847297072e-01
1.089999999999999997e-01	1.047491955105215311e-01
1.100000000000000006e-01	2.453338909253943712e-01
1.110000000000000014e-01	3.080661920830607414e-01
1.120000000000000023e-01	2.807213428604882210e-01
1.130000000000000032e-01	1.854969267442356795e-01
1.140000000000000041e-01	1.082879407040309161e-01
1.150000000000000050e-01	2.485509320104029030e-01
1.160000000000000059e-01	3.145002742530778050e-01
1.170000000000000068e-01	2.823298634029924870e-01
1.179999999999999938e-01	1.861403349612373859e-01
1.189999999999999947e-01	1.089313489210326225e-01
1.199999999999999956e-01	2.475858196849003434e-01
1.209999999999999964e-01	3.157870906870812178e-01
1.219999999999999973e-01	2.813647510774899274e-01
1.229999999999999982e-01	1.826015897677280009e-01
1.239999999999999991e-01	1.063577160530257970e-01
1.250000000000000000e-01	2.456555950338952243e-01
1.260000000000000009e-01	3.161087947955820709e-01
1.270000000000000018e-01	2.800779346434865147e-01
1.280000000000000027e-01	1.838884062017314136e-01
1.290000000000000036e-01	1.073228283785283566e-01
1.300000000000000044e-01	2.475858196849003434e-01
1.310000000000000053e-01	3.199692440975923091e-01
1.320000000000000062e-01	2.826515675114933401e-01
1.330000000000000071e-01	1.864620390697382390e-01
1.340000000000000080e-01	1.102181653550360352e-01
1.350000000000000089e-01	2.485509320104029030e-01
1.360000000000000098e-01	3.202909482060931623e-01
1.370000000000000107e-01	2.823298634029924870e-01
1.380000000000000115e-01	1.848535185272339731e-01
1.390000000000000124e-01	1.070011242700275034e-01
1.400000000000000133e-01	2.456555950338952243e-01
1.409999999999999865e-01	3.173956112295854837e-01
1.419999999999999873e-01	2.800779346434865147e-01
1.429999999999999882e-01	1.829232938762288541e-01
1.439999999999999891e-01	1.070011242700275034e-01
1.449999999999999900e-01	2.466207073593977839e-01
1.459999999999999909e-01	3.196475399890914559e-01
1.469999999999999918e-01	2.820081592944916338e-01
1.479999999999999927e-01	1.858186308527365327e-01
1.489999999999999936e-01	1.108615735720377415e-01
1.499999999999999944e-01	2.488726361189037561e-01
1.509999999999999953e-01	3.218994687485974282e-01
1.519999999999999962e-01	2.832949757284950465e-01
1.529999999999999971e-01	1.864620390697382390e-01
1.539999999999999980e-01	1.092530530295334756e-01
1.549999999999999989e-01	2.475858196849003434e-01
1.559999999999999998e-01	3.196475399890914559e-01
1.570000000000000007e-01	2.800779346434865147e-01
1.580000000000000016e-01	1.829232938762288541e-01
1.590000000000000024e-01	1.066794201615266502e-01
1.600000000000000033e-01	2.466207073593977839e-01
1.610000000000000042e-01	3.196475399890914559e-01
1.620000000000000051e-01	2.816864551859907806e-01
1.630000000000000060e-01	1.851752226357348263e-01
1.640000000000000069e-01	1.098964612465351820e-01
1.650000000000000078e-01	2.498377484444063157e-01
1.660000000000000087e-01	3.222211728570982814e-01
1.670000000000000095e-01	2.842600880539976060e-01
1.680000000000000104e-01	1.861403349612373859e-01
1.690000000000000113e-01	1.105398694635368884e-01
1.700000000000000122e-01	2.479075237934011966e-01
1.710000000000000131e-01	3.202909482060931623e-01
1.719999999999999862e-01	2.816864551859907806e-01
1.729999999999999871e-01	1.842101103102322668e-01
1.739999999999999880e-01	1.066794201615266502e-01
1.749999999999999889e-01	2.462990032508969307e-01
1.759999999999999898e-01	3.183607235550880432e-01
1.769999999999999907e-01	2.800779346434865147e-01
1.779999999999999916e-01	1.864620390697382390e-01
1.789999999999999925e-01	1.082879407040309161e-01
1.799999999999999933e-01	2.479075237934011966e-01
1.809999999999999942e-01	3.215777646400965750e-01
1.819999999999999951e-01	2.829732716199941933e-01
1.829999999999999960e-01	1.903224883717484772e-01
1.839999999999999969e-01	1.108615735720377415e-01
1.849999999999999978e-01	2.495160443359054625e-01
1.859999999999999987e-01	3.218994687485974282e-01
1.869999999999999996e-01	2.791128223179839551e-01
1.880000000000000004e-01	1.906441924802493304e-01
1.890000000000000013e-01	1.082879407040309161e-01
1.900000000000000022e-01	2.456555950338952243e-01
1.910000000000000031e-01	3.190041317720897496e-01
1.920000000000000040e-01	2.739655565819703043e-01
1.930000000000000049e-01	1.900007842632476240e-01
1.940000000000000058e-01	1.073228283785283566e-01
1.950000000000000067e-01	2.469424114678986371e-01
1.960000000000000075e-01	3.209343564230948687e-01
1.970000000000000084e-01	2.749306689074728638e-01
1.980000000000000093e-01	1.938612335652578622e-01
1.990000000000000102e-01	1.105398694635368884e-01
2.000000000000000111e-01	2.488726361189037561e-01
2.010000000000000120e-01	3.231862851826008409e-01
2.020000000000000129e-01	2.749306689074728638e-01
2.030000000000000138e-01	1.938612335652578622e-01
2.039999999999999869e-01	1.079662365955300629e-01
2.049999999999999878e-01	2.475858196849003434e-01
2.059999999999999887e-01	3.209343564230948687e-01
2.069999999999999896e-01	2.704268113884609193e-01
2.079999999999999905e-01	1.916093048057518899e-01
2.089999999999999913e-01	1.063577160530257970e-01
2.099999999999999922e-01	2.459772991423960775e-01
2.109999999999999931e-01	3.215777646400965750e-01
2.119999999999999940e-01	2.713919237139634788e-01
2.129999999999999949e-01	1.932178253482561558e-01
2.139999999999999958e-01	1.089313489210326225e-01
2.149999999999999967e-01	2.495160443359054625e-01
2.159999999999999976e-01	3.241513975081034005e-01
2.169999999999999984e-01	2.739655565819703043e-01
2.179999999999999993e-01	1.945046417822595686e-01
2.190000000000000002e-01	1.092530530295334756e-01
2.200000000000000011e-01	2.479075237934011966e-01
2.210000000000000020e-01	3.225428769655991346e-01
